,r6i1p1f1,r21i1p2f1,r13i1p2f1,r19i1p2f1,r17i1p1f1,r3i1p2f1,r11i1p1f1,r14i1p2f1,r14i1p1f1,r7i1p2f1,r12i1p2f1,r12i1p1f1,r17i1p2f1,r7i1p1f1,r25i1p1f1,r11i1p2f1,r18i1p1f1,r4i1p2f1,r21i1p1f1,r15i1p2f1,r23i1p2f1,r9i1p1f1,r25i1p2f1,r20i1p2f1
1961,1.734952156,-1.507952812,1.215266792,-1.351991509,-1.42949334,0.505148689,1.452734138,1.46298072,0.264580452,-2.768233879,-0.372448967,4.36858802,3.687203438,-3.412950981,-0.186161736,2.898350593,2.334274666,-0.249774102,0.989865181,3.196778938,0.780620491,1.601086189,0.697770759,0.177455818
1962,-0.693793267,0.226573555,1.849365913,0.804431831,1.047843391,-1.072972344,-3.453404473,0.070971748,1.017357857,-3.670848015,0.428036567,0.18458564,0.107996895,-1.499188774,-2.270079582,0.32100959,-0.97885125,1.779715645,4.159724495,4.42337043,1.680033027,-0.606873406,-0.900942009,1.111312324
1963,0.425916511,-2.793817375,1.137995369,2.505470649,0.25311103,-4.130140923,1.865628425,1.060751106,1.046697761,1.885997688,0.076432869,-1.378153618,0.19767585,1.027131721,0.896882087,0.328615791,1.652853462,-3.470237664,-3.335281609,2.261760322,1.044510261,1.236929085,-0.217234429,3.427181465
1964,1.165813057,0.968189461,1.794882881,-2.905646294,0.305155098,-0.64636956,9.747807686,4.414961311,3.44541877,1.405756904,-0.421637505,3.012110359,0.885047371,2.031914436,2.007200691,-1.000489128,1.116433174,0.845809395,0.713147041,-0.79657769,-0.708097466,1.091631843,3.776800911,3.384874946
1965,1.249883491,1.374661628,-0.419272087,-0.595056694,-2.940221184,-2.250738762,1.939617378,1.496817085,0.812420418,-2.108352898,1.155455086,-3.023491448,1.259226143,1.044720222,-0.695809868,7.831362678,1.639966804,-1.971736687,-2.855670708,-0.399971855,-2.257721489,-0.879837578,1.360727607,-4.233830193
1966,1.179257881,-1.636412895,-3.320264214,-0.067395867,1.551258003,-2.403899773,-1.627957085,-1.189504631,1.484886543,0.785513069,2.97298835,-0.22106408,-0.887099846,-0.126561211,2.521734993,2.44750251,0.084891121,1.205055305,-0.925597466,-1.619396294,2.505533516,-0.80116906,-4.033599175,0.808036567
1967,-2.135514458,0.928198921,2.467041084,-1.148187798,-0.503340081,-3.939114311,-1.082515496,1.040226814,-1.534963921,0.359281379,-0.390703972,-1.046604851,1.363866035,3.409964058,-0.690861443,1.016195747,-0.813991326,-1.039159477,3.519123298,-1.103341606,-1.794994133,1.693453438,-1.272660454,-1.745150688
1968,-1.288597344,1.725504829,-1.712056511,2.42447364,-2.982438591,0.894332344,-1.815266655,-0.807346733,1.438733589,2.930156013,-3.591960076,-4.024178093,0.145222847,1.560336372,1.502883064,0.299859382,0.341404487,0.129433662,-2.069102104,-3.900770195,-0.52590905,0.639311287,-0.563564385,3.984011299
1969,0.404134285,1.099907905,-4.000260857,-2.327615898,-1.873819817,1.463591072,3.423420784,2.331034309,0.999233772,-0.993620537,1.307486946,2.047775947,-3.066478508,0.993634407,1.953424141,4.023063423,1.735137703,1.624025337,0.282894966,-0.836425102,-2.886728447,1.851808845,3.731651375,-0.810080803
1970,-0.70496331,1.789928047,2.680944587,2.597150642,2.42659156,1.606422493,3.061875984,-2.923173455,-2.915836418,1.467933113,1.283620064,-0.662072991,2.187425606,2.857983467,0.552570564,-2.285169304,5.049440376,-3.502975395,-1.865736931,-1.782580803,-0.867329643,-3.06687249,-4.341328057,0.859885933
